city,year,month,season,tavg_mean,tmax_mean,tmin_mean,dtr_mean,prcp_total,rainy_days
Bangalore,1990,1,Winter,21.193548387096776,28.224,14.311538461538463,14.366666666666665,0.0,0
Bangalore,1990,2,Winter,23.87142857142857,30.708333333333332,17.456521739130434,13.614285714285714,0.0,0
Bangalore,1990,3,Pre-Monsoon,26.48709677419355,32.63793103448276,20.811999999999998,11.654166666666667,3.5999999999999996,1
Bangalore,1990,4,Pre-Monsoon,28.43,34.6,22.666666666666668,11.963636363636363,211.79999999999998,3
Bangalore,1990,5,Pre-Monsoon,25.73076923076923,31.836363636363636,21.577777777777776,10.094117647058823,132.2,8
Bangalore,1990,6,Monsoon,23.69,28.770370370370372,20.04736842105263,8.75,40.1,6
Bangalore,1990,7,Monsoon,22.851612903225806,28.1037037037037,19.374074074074073,8.695652173913043,26.0,5
Bangalore,1990,8,Monsoon,22.293548387096774,26.849999999999998,19.623076923076923,7.320833333333333,75.3,9
Bangalore,1990,9,Monsoon,23.686666666666667,28.842857142857145,19.985714285714284,8.795238095238094,40.9,5
Bangalore,1990,10,Post-Monsoon,23.263333333333332,28.15833333333333,19.437037037037037,8.55,37.6,3
Bangalore,1990,11,Post-Monsoon,21.895652173913046,27.38125,18.176470588235293,9.563636363636364,99.5,4
Bangalore,1990,12,Winter,20.970000000000002,26.33703703703704,16.213636363636365,10.431578947368422,0.0,0
Bangalore,1991,1,Winter,22.013793103448275,28.70434782608696,16.40869565217391,12.421052631578947,0.3,0
Bangalore,1991,2,Winter,24.0,30.996,17.40714285714286,13.64,0.0,0
Bangalore,1991,3,Pre-Monsoon,27.351612903225806,34.04482758620689,20.773076923076925,13.436,0.0,0
Bangalore,1991,4,Pre-Monsoon,27.013333333333332,33.714285714285715,21.878260869565217,11.921739130434782,34.4,5
Bangalore,1991,5,Pre-Monsoon,27.00344827586207,33.596,21.875,11.653846153846157,128.5,5
Bangalore,1991,6,Monsoon,23.55,28.37391304347826,20.672222222222224,7.933333333333334,49.0,5
Bangalore,1991,7,Monsoon,22.416129032258063,26.94074074074074,19.56,7.495652173913044,34.4,4
Bangalore,1991,8,Monsoon,22.34,26.78,19.108695652173914,7.625,98.10000000000001,8
Bangalore,1991,9,Monsoon,23.683333333333334,28.837500000000002,19.856521739130436,8.8,201.7,15
Bangalore,1991,10,Post-Monsoon,22.758064516129032,27.65,18.985185185185188,8.55,259.7,7
Bangalore,1991,11,Post-Monsoon,21.276666666666664,26.11923076923077,17.586363636363636,8.365,293.3,3
Bangalore,1991,12,Winter,20.248387096774195,26.20689655172414,15.678571428571429,10.426923076923078,0.0,0
Bangalore,1992,1,Winter,19.799999999999997,26.646428571428572,13.15,13.576190476190478,0.0,0
Bangalore,1992,2,Winter,23.513793103448275,30.320833333333336,17.768,12.628571428571428,0.0,0
Bangalore,1992,3,Pre-Monsoon,25.629166666666666,33.75,16.90909090909091,15.800000000000002,106.9,1
Bangalore,1992,4,Pre-Monsoon,27.53448275862069,34.275,21.675,12.847826086956522,7.699999999999999,2
Bangalore,1992,5,Pre-Monsoon,26.023333333333333,32.60370370370371,20.905263157894737,11.723529411764707,49.6,4
Bangalore,1992,6,Monsoon,23.50344827586207,29.108333333333334,20.015,8.688235294117646,158.1,9
Bangalore,1992,7,Monsoon,22.92258064516129,27.624000000000002,19.656521739130437,7.877777777777778,85.7,5
Bangalore,1992,8,Monsoon,22.276666666666664,27.451851851851853,19.01304347826087,8.661904761904761,68.3,9
Bangalore,1992,9,Monsoon,23.05,28.26153846153846,19.5,8.794117647058824,134.70000000000002,7
Bangalore,1992,10,Post-Monsoon,22.88064516129032,28.151851851851852,19.3125,8.868181818181817,75.7,10
Bangalore,1992,11,Post-Monsoon,22.136666666666667,26.925,18.465384615384615,8.466666666666667,29.8,5
Bangalore,1992,12,Winter,19.982142857142858,25.77916666666667,14.405882352941177,10.753846153846155,0.5,0
Bangalore,1993,1,Winter,20.980645161290322,28.66296296296296,14.117857142857144,14.529166666666669,0.0,0
Bangalore,1993,2,Winter,23.207142857142856,30.292857142857144,16.622222222222224,13.622222222222222,0.0,0
Bangalore,1993,3,Pre-Monsoon,25.958064516129035,32.37931034482759,19.87857142857143,12.576923076923077,29.8,3
Bangalore,1993,4,Pre-Monsoon,27.55,34.35333333333333,21.766666666666666,12.725,10.4,1
Bangalore,1993,5,Pre-Monsoon,27.148275862068964,34.52916666666667,21.54,12.68125,68.1,6
Bangalore,1993,6,Monsoon,24.433333333333334,30.024,20.294736842105266,9.686666666666667,75.10000000000001,5
Bangalore,1993,7,Monsoon,23.26451612903226,28.065384615384616,19.5625,8.629999999999999,68.1,6
Bangalore,1993,8,Monsoon,23.273333333333333,28.27692307692308,19.7,8.661904761904761,39.5,8
Bangalore,1993,9,Monsoon,23.34333333333333,28.174074074074074,19.416,8.582608695652175,258.8,9
Bangalore,1993,10,Post-Monsoon,22.603225806451615,27.634615384615383,19.308695652173913,8.542105263157893,98.1,10
Bangalore,1993,11,Post-Monsoon,21.80666666666667,26.491999999999997,18.01851851851852,8.283333333333333,20.0,4
Bangalore,1993,12,Winter,20.23,25.319230769230767,16.165384615384617,9.454545454545455,153.5,5
Bangalore,1994,1,Winter,20.9,27.45357142857143,15.18,12.318181818181818,0.0,0
Bangalore,1994,2,Winter,23.357142857142858,29.776,18.067999999999998,11.636363636363637,0.3,0
Bangalore,1994,3,Pre-Monsoon,26.361290322580647,33.42,19.48076923076923,13.490909090909092,0.0,0
Bangalore,1994,4,Pre-Monsoon,27.226666666666667,33.38333333333333,21.67391304347826,11.952173913043477,150.1,3
Bangalore,1994,5,Pre-Monsoon,26.858620689655172,33.804,21.773913043478263,12.459999999999999,14.5,4
Bangalore,1994,6,Monsoon,23.38,28.642307692307693,20.065,8.633333333333333,31.099999999999998,5
Bangalore,1994,7,Monsoon,22.509677419354837,26.9,19.80909090909091,6.842105263157895,159.9,14
Bangalore,1994,8,Monsoon,23.125806451612902,28.088,19.733333333333334,8.31578947368421,56.699999999999996,10
Bangalore,1994,9,Monsoon,24.086666666666666,29.22962962962963,19.765,9.952941176470588,173.79999999999998,3
Bangalore,1994,10,Post-Monsoon,22.67,27.944444444444443,19.47826086956522,8.879999999999999,153.9,13
Bangalore,1994,11,Post-Monsoon,20.953333333333333,25.815384615384616,17.48846153846154,8.639130434782608,25.2,4
Bangalore,1994,12,Winter,19.948387096774194,26.054166666666664,15.052,10.985,5.1,2
Bangalore,1995,1,Winter,20.980645161290322,26.86896551724138,16.253846153846155,10.884,18.6,1
Bangalore,1995,2,Winter,23.900000000000002,30.624000000000002,18.076,12.481818181818182,0.0,0
Bangalore,1995,3,Pre-Monsoon,26.026666666666664,32.41428571428572,19.358620689655172,13.042857142857143,66.5,2
Bangalore,1995,4,Pre-Monsoon,27.596666666666668,33.676,21.90740740740741,11.845454545454546,33.8,4
Bangalore,1995,5,Pre-Monsoon,25.751612903225805,31.71034482758621,21.055999999999997,10.691304347826087,185.6,9
Bangalore,1995,6,Monsoon,25.142857142857142,30.662499999999998,20.756521739130434,9.457894736842105,22.1,5
Bangalore,1995,7,Monsoon,23.335483870967742,27.78076923076923,20.065217391304348,7.805,77.5,3
Bangalore,1995,8,Monsoon,23.44516129032258,28.21851851851852,20.146153846153844,7.970833333333334,163.8,13
Bangalore,1995,9,Monsoon,23.543333333333333,28.285714285714285,19.904,8.404347826086957,236.7,6
Bangalore,1995,10,Post-Monsoon,23.39333333333333,27.99285714285714,19.925925925925927,8.084000000000001,133.0,7
Bangalore,1995,11,Post-Monsoon,23.03103448275862,28.664,18.48695652173913,10.4,12.9,2
Bangalore,1995,12,Winter,20.74516129032258,27.69677419354839,14.717241379310344,13.0,0.0,0
Bangalore,1996,1,Winter,21.467741935483872,28.566666666666666,15.617857142857144,12.97391304347826,0.0,0
Bangalore,1996,2,Winter,23.03793103448276,30.46896551724138,16.733333333333334,13.785185185185187,0.0,0
Bangalore,1996,3,Pre-Monsoon,26.60322580645161,34.022222222222226,19.38148148148148,14.566666666666668,0.0,0
Bangalore,1996,4,Pre-Monsoon,26.782758620689656,33.42962962962963,21.650000000000002,12.0,90.5,5
Bangalore,1996,5,Pre-Monsoon,27.483870967741936,35.265517241379314,21.53076923076923,13.784,41.7,6
Bangalore,1996,6,Monsoon,24.36896551724138,29.382758620689657,20.061904761904763,9.023809523809524,152.8,9
Bangalore,1996,7,Monsoon,23.683870967741935,28.703703703703702,20.123076923076926,8.504545454545454,49.300000000000004,5
Bangalore,1996,8,Monsoon,22.835483870967742,27.646428571428572,19.642307692307693,8.030434782608696,286.0,11
Bangalore,1996,9,Monsoon,22.86,27.8962962962963,19.855999999999998,8.20909090909091,195.0,14
Bangalore,1996,10,Post-Monsoon,22.55185185185185,27.743478260869566,19.312,8.557142857142859,83.6,11
Bangalore,1996,11,Post-Monsoon,22.05666666666667,27.885185185185183,17.595454545454547,10.494736842105263,1.6,0
Bangalore,1996,12,Winter,19.86774193548387,25.70344827586207,15.694736842105263,10.08235294117647,7.5,1
Bangalore,1997,1,Winter,20.9,27.717241379310344,16.170833333333334,11.465217391304348,0.0,0
Bangalore,1997,2,Winter,23.166666666666668,30.976,17.272000000000002,13.6,0.0,0
Bangalore,1997,3,Pre-Monsoon,24.820689655172412,32.34583333333334,18.927777777777777,13.750000000000002,19.0,3
Bangalore,1997,4,Pre-Monsoon,25.87,32.729166666666664,20.75769230769231,12.061904761904762,64.1,4
Bangalore,1997,5,Pre-Monsoon,26.758064516129032,34.12758620689655,21.631999999999998,12.534782608695652,39.9,3
Bangalore,1997,6,Monsoon,25.016666666666666,31.61923076923077,20.926315789473687,10.694444444444445,74.5,7
Bangalore,1997,7,Monsoon,23.42258064516129,29.103571428571428,20.128,9.14782608695652,18.1,5
Bangalore,1997,8,Monsoon,22.958064516129035,28.26153846153846,19.855555555555558,8.490909090909092,156.7,9
Bangalore,1997,9,Monsoon,23.726666666666667,29.125,19.990909090909092,8.99047619047619,276.8,12
Bangalore,1997,10,Post-Monsoon,23.163333333333334,29.175,19.654545454545453,9.58421052631579,246.2,5
Bangalore,1997,11,Post-Monsoon,22.45862068965517,27.15416666666667,19.721739130434784,7.340000000000001,163.5,11
Bangalore,1997,12,Winter,21.77741935483871,27.037037037037038,18.675,8.530434782608696,19.7,3
Bangalore,1998,1,Winter,22.32903225806452,29.236,17.816,12.08421052631579,0.0,0
Bangalore,1998,2,Winter,24.396428571428572,31.291666666666668,19.0,12.322222222222223,0.0,0
Bangalore,1998,3,Pre-Monsoon,27.09032258064516,34.1551724137931,20.90740740740741,13.208,0.0,0
Bangalore,1998,4,Pre-Monsoon,28.05,35.04615384615385,22.72608695652174,12.466666666666667,53.4,4
Bangalore,1998,5,Pre-Monsoon,27.419354838709676,34.08965517241379,22.617391304347827,11.40909090909091,121.3,6
Bangalore,1998,6,Monsoon,25.326666666666664,30.857692307692307,21.215384615384615,9.472727272727273,87.1,4
Bangalore,1998,7,Monsoon,23.606451612903225,28.606896551724137,20.292,7.813043478260869,257.1,12
Bangalore,1998,8,Monsoon,23.476666666666667,28.339285714285715,20.425925925925927,7.892307692307693,271.9,16
Bangalore,1998,9,Monsoon,23.19,27.732142857142858,20.014814814814812,7.892,152.2,8
Bangalore,1998,10,Post-Monsoon,22.76451612903226,28.326666666666664,19.596,9.033333333333333,200.6,10
Bangalore,1998,11,Post-Monsoon,22.366666666666667,27.555555555555557,18.430434782608696,9.019047619047617,48.8,4
Bangalore,1998,12,Winter,20.75483870967742,26.490322580645163,16.42962962962963,9.966666666666667,19.4,3
Bangalore,1999,1,Winter,21.196666666666665,28.53666666666667,15.158333333333333,13.512500000000001,0.0,0
Bangalore,1999,2,Winter,23.610714285714288,30.384615384615383,17.134615384615383,13.220833333333333,16.0,1
Bangalore,1999,3,Pre-Monsoon,26.751612903225805,34.04333333333334,20.348275862068967,13.775000000000002,0.0,0
Bangalore,1999,4,Pre-Monsoon,27.03666666666667,34.236,21.120833333333334,13.5,34.0,2
Bangalore,1999,5,Pre-Monsoon,24.674193548387095,30.73793103448276,20.650000000000002,9.890476190476189,148.5,10
Bangalore,1999,6,Monsoon,23.71333333333333,29.348148148148148,19.920833333333334,9.461904761904762,25.9,2
Bangalore,1999,7,Monsoon,22.967741935483872,28.05,19.930434782608696,8.040909090909091,28.7,7
Bangalore,1999,8,Monsoon,23.248387096774195,28.114814814814817,19.860869565217392,8.138095238095238,81.0,6
Bangalore,1999,9,Monsoon,23.673333333333336,29.5,19.768,9.669565217391305,64.9,6
Bangalore,1999,10,Post-Monsoon,23.19677419354839,28.433333333333334,19.931818181818183,8.5,190.6,11
Bangalore,1999,11,Post-Monsoon,21.796666666666667,27.5,17.476,10.456521739130435,57.199999999999996,4
Bangalore,1999,12,Winter,20.396428571428572,26.203703703703702,15.954545454545455,10.186363636363636,15.5,2
Bangalore,2000,1,Winter,21.641935483870967,28.823076923076922,16.182758620689654,12.720833333333333,0.0,0
Bangalore,2000,2,Winter,23.358620689655172,30.246153846153845,18.592307692307692,11.421739130434782,57.9,3
Bangalore,2000,3,Pre-Monsoon,25.853333333333335,32.75185185185185,19.743333333333332,12.974074074074075,0.0,0
Bangalore,2000,4,Pre-Monsoon,26.90666666666667,33.98461538461539,21.884615384615383,11.963636363636363,55.9,4
Bangalore,2000,5,Pre-Monsoon,25.932258064516127,32.37931034482759,21.139130434782608,11.281818181818183,33.9,3
Bangalore,2000,6,Monsoon,23.21333333333333,28.24074074074074,19.97037037037037,8.429166666666667,84.6,9
Bangalore,2000,7,Monsoon,23.19677419354839,28.470000000000002,19.62962962962963,8.930769230769231,98.4,6
Bangalore,2000,8,Monsoon,22.809677419354838,27.467741935483872,19.576,8.144,273.90000000000003,16
Bangalore,2000,9,Monsoon,23.503333333333334,28.709999999999997,20.043478260869566,8.569565217391304,101.9,6
Bangalore,2000,10,Post-Monsoon,22.716129032258067,28.370967741935484,18.73478260869565,9.843478260869565,309.9,12
Bangalore,2000,11,Post-Monsoon,22.046666666666667,27.548275862068966,17.650000000000002,10.06818181818182,7.1,1
Bangalore,2000,12,Winter,20.219354838709677,27.06206896551724,14.829629629629629,12.144,12.700000000000001,1
Bangalore,2001,1,Winter,21.43548387096774,28.4,16.448275862068964,11.93448275862069,0.0,0
Bangalore,2001,2,Winter,24.88214285714286,32.63214285714285,18.64,14.02,0.0,0
Bangalore,2001,3,Pre-Monsoon,26.63225806451613,33.60666666666667,20.836666666666666,12.824137931034482,1.0,0
